,avatar,posts,followers,likes,engagement_rate
12592,ideasmakeup,1.9K,145.6K,1.87K,0.1
12593,manavkaul,1K,145.6K,1.03K,11.9
12594,djwofc,82,145.6K,82,2.6
12595,easyfastcop,1.5K,145.6K,1.52K,2.9
12596,kurta_pajama_model_,1.4K,145.5K,1.38K,2
12597,nawabnabeel,300,145.5K,300,9.5
12598,pendaki_photograper,3.2K,145.5K,3.24K,0.8
12599,sushrii,277,145.5K,277,0.8
12600,transcendentalmeditation,1.3K,147K,1.32K,0.5
12601,trygveskaug,3.6K,147K,3.63K,3.8
12602,chochespears,751,147K,751,6.2
12603,yanna_linz89,1.3K,147K,1.28K,0.4
12604,kenyan_network,2.5K,147K,2.53K,0.5
12605,mridul_sharmaa,1.3K,147K,1.35K,12.1
12606,lucividal,1.1K,147K,1.12K,0.2
12607,jktourismofficial,3.9K,147K,3.88K,2.1
12608,keremahero,1.6K,147K,1.59K,3.8
12609,bedheadbytigi,2K,146.9K,1.95K,0.2
12610,sikhbeard,5.9K,146.9K,5.93K,0.2
12611,amaliaulman,2,146.9K,2,2.2
12612,oraclelights,5.7K,146.9K,5.73K,0.1
12613,zahahadiddesign,139,146.9K,139,1.6
12614,luciajimenezb,1.4K,146.9K,1.37K,0.9
12615,benpentreath,1.3K,146.9K,1.31K,4.6
12616,agapebathrooms,1.1K,146.9K,1.07K,0.4
12617,nadiaaldanaoficial,637,146.9K,637,1
12618,lamejoroficial,3.7K,146.9K,3.71K,0.3
12619,visit_sulsel,4.5K,146.9K,4.51K,1.7
12620,pangram.pangram,195,146.9K,195,1.9
12621,ownuapp,743,146.9K,743,1.2
12622,ultrafadebyrich,2.4K,146.9K,2.44K,2.1
12623,oumaima_assk,35,146.9K,35,3
12624,14mount8000,5.3K,146.9K,5.26K,1.7
12625,germanshepherd.universe,2K,146.9K,1.97K,0.4
12626,nick_tawakal_indonesia,498,146.9K,498,2.8
12627,thebrowndaughter,507,146.9K,507,28.2
12628,glowreeyah,5.7K,146.9K,5.74K,0.4
12629,sanjhalika,0.9K,146.9K,0.95K,2.2
12630,scrubs_n_clogs,6.9K,146.9K,6.86K,0.1
12631,misha_grimes,2.9K,146.9K,2.87K,13.1
12632,facetheory,719,146.8K,719,0.4
12633,imawithlove,4K,146.8K,3.97K,4.3
12634,arfanrashid,1.6K,146.8K,1.58K,3.4
12635,cn_mi_infancia,2.5K,146.8K,2.55K,7.3
12636,thegorgeousbride,3.6K,146.8K,3.60K,1.5
12637,larocheposay_es,897,146.8K,897,0.8
12638,officialbharat__,228,146.8K,228,3.5
12639,vickysoupsss,1.7K,146.8K,1.66K,6.5
12640,rtvpink,1.6K,146.8K,1.55K,0.2
12641,andre_talabessy,6.9K,146.8K,6.92K,0.2
12642,am1_venu,591,146.8K,591,4.9
12643,travelmanitoba,3.8K,146.8K,3.80K,2
12644,guftagupoetry,454,146.8K,454,1.7
12645,aliceperrella,5.9K,146.8K,5.89K,0.9
12646,beredelarosamakeup,1.3K,146.8K,1.27K,0.6
12647,firozakhan14,839,146.8K,839,0.9
12648,sydneyandavis,598,146.8K,598,3.6
12649,kirtisameer,0.9K,146.8K,0.93K,0.8
12650,hdnewsongofficial,3.9K,146.8K,3.92K,0.4
12651,hotguysthailand,2.1K,146.8K,2.06K,1.9
12652,bhangramutiyaar,455,146.8K,455,18.7
12653,holyburgersp,4K,146.8K,4.01K,0.5
12654,theonlyzeeshankhan,304,146.8K,304,9
12655,darkoo,63,146.8K,63,16.5
12656,executive_pastry_chef_hin,1.1K,146.8K,1.15K,1.1
12657,adrianzurkov,616,146.8K,616,3
12658,jagdishhh_02,447,146.8K,447,7.3
12659,stefanypiett,80,146.8K,80,5
12660,zazilabraham,630,146.8K,630,4.4
12661,stylestunnermanila,10.3K,146.8K,10.33K,0
12662,marie_hfmn97,308,146.8K,308,60.9
12663,d_shehbazz,454,146.8K,454,0
12664,panoramafood,0,146.8K,1,0
12665,topregalitos,5,146.8K,5,1.8
12666,jejessie_,1.4K,146.8K,1.39K,2.7
12667,motionraceworks,11.8K,146.8K,11.83K,0.2
12668,olivierjaniak,2.1K,146.8K,2.06K,1
12669,d.j.thielen,2.1K,146.8K,2.10K,1.4
12670,sdthaitay,4.9K,146.7K,4.89K,1.2
12671,lisa_damato,4K,146.7K,4.05K,1.4
12672,akbarhendar,1.1K,146.7K,1.13K,5.4
12673,phillyinquirer,4.9K,146.7K,4.94K,0.4
12674,ovoryan,384,146.7K,384,1.7
12675,rytash,2.2K,146.7K,2.21K,2.5
12676,girlythingsdiary,9.1K,146.7K,9.11K,0.2
12677,7cricket,2.7K,146.7K,2.70K,4.8
12678,mercymagiconline,574,146.7K,574,0.1
12679,kane_sheckler,783,146.7K,783,1.2
12680,dushyanthweeraman,1.4K,146.7K,1.42K,0.4
12681,ranbir.kapoor.8,548,146.7K,548,2.1
12682,suman_das_photography,841,146.7K,841,1.5
12683,stepmasak,2.3K,146.7K,2.34K,0.2
12684,utvfilms,4.5K,146.7K,4.46K,0.6
12685,dumahik_hanasa,5.7K,146.7K,5.74K,1.7
12686,autosvip_2014,7.4K,146.7K,7.39K,0.1
12687,ehtedaa1,342,146.7K,342,7.7
12688,marian_keyes,834,146.7K,834,1.6
12689,alex_lolly_,173,146.7K,173,3.9
12690,dabbooratnanistudio,7.1K,146.7K,7.08K,0.6
12691,pinkhassov,2.3K,146.7K,2.27K,2.5
12692,lboobies,118,146.7K,118,25.2
12693,maxhosa,618,146.7K,618,3.1
12694,marriejeintz,6K,146.7K,6.04K,0.5
12695,pulocinta,2.4K,146.7K,2.43K,0.9
12696,florianhurel,342,146.7K,342,1.7
12697,bacikisuparaa,266,146.7K,266,5
12698,emelcolgecen,2.7K,146.7K,2.72K,2.3
12699,oksanapikuljasaitiene,4.3K,146.7K,4.31K,1
12700,bhokeegina,1.6K,148K,1.64K,0.4
12701,gaurav_richboyz,1K,148K,1.03K,1.5
12702,peerless_verified,2.2K,148K,2.19K,0.3
12703,discoveratlanta,1.5K,148K,1.50K,2.4
12704,mensfudge,1K,148K,0.97K,1.7
12705,irwanriady,8.2K,148K,8.20K,0.2
12706,babybrasa,696,148K,696,0.2
12707,kristiniadeb,1K,148K,1.01K,1.2
12708,azimakula,1.1K,148K,1.10K,13.6
12709,domfishback,96,147.9K,96,6.4
12710,gladysseara,1.3K,147.9K,1.33K,1.8
12711,tomazshoes,2.2K,147.9K,2.24K,0.9
12712,retrogeist,1.1K,147.9K,1.07K,3.1
12713,lavoura_de_ouro,6K,147.9K,6.03K,0.2
12714,ajwadresto,1.7K,147.9K,1.72K,0.1
12715,izmapr,135,147.9K,135,1.5
12716,leahmccarthy,1K,147.9K,0.95K,8.6
12717,pablomatera,485,147.9K,485,8.2
12718,anacastelacantora,237,147.9K,237,10.7
12719,joltter,1.3K,147.9K,1.33K,8.4
12720,official.yiruma,498,147.9K,498,3.5
12721,royal_yacht,2.6K,147.9K,2.61K,0.7
12722,harishverma_,266,147.9K,266,1.7
12723,worldfilmgraphy,1.7K,147.9K,1.68K,0.3
12724,frederiquebel_,2.4K,147.9K,2.38K,1.2
12725,instylespain,3.2K,147.9K,3.23K,0.2
12726,kalbegidenyolmidedengecer,819,147.9K,819,0.1
12727,exgverse,2.1K,147.9K,2.15K,0.4
12728,zoe,457,147.9K,457,0.4
12729,fcfl,1K,147.9K,0.99K,0.7
12730,theuntoldphrase,5.2K,147.9K,5.19K,4.2
12731,gogpoeta,605,147.9K,605,0.8
12732,powerzzzup,1.8K,147.9K,1.82K,1.9
12733,gvantsa_daraselia,2.5K,147.9K,2.50K,1.7
12734,bibin_photography,223,147.8K,223,4.5
12735,ring,1K,147.8K,1.03K,0.7
12736,jdiggsthizzz,4.6K,147.8K,4.60K,2.2
12737,finanzkroko,1.3K,147.8K,1.33K,2.5
12738,diandraforrest,766,147.8K,766,2
12739,rahijaberi,556,147.8K,556,3.3
12740,amaralenses,1.7K,147.8K,1.69K,0.1
12741,ctv,5.4K,147.8K,5.41K,0.1
12742,ninjas_ring17,3K,147.8K,3.04K,0.3
12743,antonielokhorst,611,147.8K,611,2.3
12744,eyesrodgers,244,147.8K,244,13.1
12745,collusionstudios,585,147.8K,585,0.8
12746,explorevespa,9.2K,147.8K,9.22K,0.4
12747,_04x_,805,147.8K,1,0
12748,keonthetrack,312,147.8K,312,1.7
12749,flamencoybuleria,601,147.8K,601,2.5
12750,wassupakash,745,147.8K,745,1.9
12751,elxielvina,2.3K,147.8K,2.26K,1.6
12752,alayoubi_smart,2.9K,147.8K,2.91K,0.1
12753,lingkarsumut,4.6K,147.8K,4.59K,1
12754,nikhar_jewellery_and_bangles_,3.4K,147.7K,3.38K,0.2
12755,harshalaa_,1.6K,147.7K,1.60K,9.7
12756,sonalithakur3644,225,147.7K,225,1.7
12757,adeelchaudry1,1K,147.7K,0.96K,3.5
12758,marcdupre123,97,147.7K,97,4
12759,russ_wildlife,719,147.7K,719,2.9
12760,denialroy1,1K,147.7K,0.97K,0.7
12761,youssefbenhayoun,1K,147.7K,0.98K,0.4
12762,estellehagen,449,147.7K,449,12.7
12763,4eva_sam,25,147.7K,25,11
12764,beibutshumenov,656,147.7K,656,2.7
12765,rockyandmayur,3.7K,147.7K,3.72K,1.3
12766,deby_ap05,109,147.7K,1,0
12767,thepeacockmagazine_,877,147.7K,877,4.7
12768,huynhanh.recca,1.2K,147.7K,1.19K,1.8
12769,dvvmovies,677,147.7K,677,9.1
12770,carty.ti,812,147.7K,812,4.5
12771,semarangfood,8.1K,147.7K,8.09K,0.4
12772,dialaskitchen,4.2K,147.7K,4.23K,1.9
12773,jonasbendiksen,365,147.7K,365,1.9
12774,sahgal_modification,779,147.7K,779,4.3
12775,bravesailors,3.9K,147.7K,3.86K,1.4
12776,vegabeauty,2.5K,147.7K,2.45K,0.7
12777,stylizedstudio,2.2K,147.7K,2.18K,0.5
12778,lonelyplanetmagazineindia,7K,147.7K,7K,0.2
12779,wannabefoodie69,1.5K,147.7K,1.53K,4.5
12780,jobansandhu,3.6K,147.7K,3.55K,0.9
12781,artpress.lasercut,3.6K,147.7K,3.55K,0
12782,primecamaros,8.2K,147.7K,8.20K,1.6
12783,southindianbrides,4.1K,147.6K,4.06K,0.3
12784,ptuor,2.5K,147.6K,2.50K,1.5
12785,pumarussia,325,147.6K,325,1.7
12786,maksym_ziolkowski,1K,147.6K,0.98K,2.9
12787,carla.jeans,803,147.6K,803,0.8
12788,chuvakings,119,147.6K,119,3.6
12789,variomodifikasi_id,4.5K,147.6K,4.46K,0.8
12790,pinkyfitness,262,147.6K,262,1.5
12791,geonusantara,6.7K,147.6K,6.66K,0.4
12792,marbek,1.8K,147.6K,1.78K,1.2
12793,730no,23.6K,147.6K,23.59K,1.1
12794,mattidomingue,257,147.6K,257,4.7
12795,malinikapoor,3K,147.6K,3.01K,0.3
12796,hlogi_mash_,17,147.6K,17,8.7
12797,ken_pasakorn,2.8K,147.6K,2.81K,0.8
12798,gloriaamandabrown,182,147.6K,182,1.9
12799,zonaherex,2.2K,147.6K,2.23K,0.6
12800,erinthumann,490,149K,490,9.7
12801,olaelectric,377,149K,377,0.9
12802,defensagob,2.2K,149K,2.21K,1.7
12803,laurentiaalexandra,513,149K,1,0.3
12804,_mansi_kukreja,805,149K,805,11.7
12805,danielkrieger,3.7K,149K,3.72K,0.4
12806,aaaya.22,556,149K,556,1.3
12807,burgerkingcr,1K,149K,0.95K,0.2
12808,spencervybes,157,149K,157,5.3
12809,frassyaudrey,6.5K,149K,6.52K,2.6
12810,laidygomez_1,4.6K,149K,4.61K,0.6
12811,pemkotbogor,6.3K,149K,6.32K,0.2
12812,pk514,1.8K,149K,1.82K,7.8
12813,wwluxuries,0.9K,148.9K,0.94K,4.5
12814,____uhaa,278,148.9K,278,1.1
12815,ps_fashion_official,2.5K,148.9K,2.45K,1.2
12816,animaldefendersindo,3.2K,148.9K,3.24K,0.5
12817,mllnnmprd,178,148.9K,178,11.7
12818,rifkykrismon,43,148.9K,43,1.7
12819,mynameismerel,760,148.9K,760,1.9
12820,katemeets,1.3K,148.9K,1.26K,3
12821,kojofunds,1,148.9K,1,3.7
12822,yunglmrmarley,102,148.9K,102,2.8
12823,skreamizm,2.6K,148.9K,2.65K,2.1
12824,mariafranciska,1.1K,148.9K,1.07K,0.2
12825,adrianakadar,284,148.9K,284,18.1
12826,zanamari,2K,148.9K,1.96K,3.1
12827,pypahs_art,1.2K,148.9K,1.17K,3.5
12828,unlimitedborabora,498,148.9K,498,1.4
12829,aaronsingerman,6.4K,148.9K,6.42K,1.1
12830,victorruizdj,1.3K,148.9K,1.31K,1.1
12831,bajajdominar,1.1K,148.9K,1.13K,4.2
12832,pinkines,1.1K,148.9K,1.10K,5.6
12833,malejocangrejo,2.1K,148.9K,2.10K,1.5
12834,jo_rodgers,0.9K,148.9K,0.91K,4
12835,_heartsmuggler_,204,148.9K,204,14.3
12836,gurdippunjj,514,148.9K,514,4.8
12837,cheywarprincess,2.2K,148.9K,2.25K,6.6
12838,astridbasjar,3K,148.9K,3.01K,1.7
12839,san_sanych_bolshunov,123,148.9K,123,14.6
12840,mileschile,1.6K,148.9K,1.62K,4.5
12841,gujarat_models,6.9K,148.9K,6.90K,0.7
12842,tomastomas108,282,148.9K,282,1
12843,ariataylorxx,16,148.8K,1,0
12844,balukz,3.8K,148.8K,3.80K,2.5
12845,bujutoyourears,70,148.8K,70,14.5
12846,wolfs_populaires,1K,148.8K,1K,0.7
12847,janm_ux,298,148.8K,298,2.2
12848,clementishimwe,1.1K,148.8K,1.14K,1.4
12849,marcio,2.6K,148.8K,2.59K,0.6
12850,somedays_store,874,148.8K,874,1
12851,preeti_patel_333,81,148.8K,81,3.8
12852,grippedmagazine,3.2K,148.8K,3.20K,1.3
12853,52nd_glass_shop,1.9K,148.8K,1.88K,0.3
12854,iamkittens,1.1K,148.8K,1.06K,3.4
12855,carlovers_07,1.4K,148.8K,1.40K,5.1
12856,sgardnerstyle,3.7K,148.8K,3.70K,3
12857,360chicago,4.3K,148.8K,4.34K,0.9
12858,ellen_arw,29,148.8K,29,5.2
12859,txarango,335,148.8K,335,15.3
12860,puydufou,2.1K,148.8K,2.14K,5
12861,carlaesparza1,2.9K,148.8K,2.95K,2.7
12862,lucaslepri,0.9K,148.8K,0.93K,0.3
12863,malien_vip_223,0,148.8K,1,0
12864,theus_its,35,148.8K,35,1.2
12865,mayank_rajput_10,186,148.8K,186,2.5
12866,friendshipgangs,886,148.8K,1,0
12867,_jennybird,5.6K,148.7K,5.56K,0.2
12868,bodiners,63,148.7K,63,2.3
12869,parookaville,1.5K,148.7K,1.51K,2.1
12870,fidelitybankplc,3.8K,148.7K,3.78K,0.1
12871,vainmaailmajutut,2.8K,148.7K,2.79K,9.1
12872,moulik_agarwal_edits,791,148.7K,791,11.1
12873,diegomendieta1,683,148.7K,683,2
12874,assem_eldamanhory,163,148.7K,163,16.5
12875,myjakim,3.1K,148.7K,3.13K,1.1
12876,fahmiaditian,1.6K,148.7K,1.63K,1.7
12877,sasha_yugay,2.8K,148.7K,2.76K,8.7
12878,kingsmanmovie,240,148.7K,240,30
12879,josh,1.8K,148.7K,1.81K,0.4
12880,jessicalinchannel,883,148.7K,883,3.5
12881,interior_by_kati,2.3K,148.7K,2.33K,0.6
12882,menuresepindonesia,3.2K,148.7K,3.22K,0.4
12883,macro_perfection,5.8K,148.7K,5.78K,1.3
12884,talentedmusicians,2.1K,148.7K,2.07K,1.5
12885,newjplus,6.2K,148.7K,6.22K,1.6
12886,mail0ves,1.6K,148.7K,1.57K,2.9
12887,manlyprocosmetics,4K,148.6K,4.01K,0.3
12888,dhrritisaharan,1.3K,148.6K,1.33K,1.3
12889,maxon,74,148.6K,74,1.2
12890,waifu_palace,313,148.6K,313,1.7
12891,hendrabudiono_,86,148.6K,86,5
12892,annemiekvanvleuten,0.9K,148.6K,0.91K,3.6
12893,afrostylemagz,11K,148.6K,11.01K,0.6
12894,romaanettee,848,148.6K,848,3.2
12895,datesandavocados,728,148.6K,728,2.2
12896,witkowskii_,247,148.6K,247,9.2
12897,giovannavalcarceloficial,553,148.6K,553,1.4
12898,dilorom___mirzayeva,200,148.6K,200,0.9
12899,vikihalmosii,1.9K,148.6K,1.94K,8.8
12900,clementsdesign,215,150K,215,3
12901,chandnisinghstudio,3.3K,150K,3.31K,1.5
12902,houseplantplants,1.1K,150K,1.10K,3.6
12903,aysegul_unsal,471,150K,471,1
12904,itspacogeneral,142,150K,142,5
12905,thevoice_italy,1.3K,150K,1.28K,1.7
12906,stylestrippedpk,9.6K,150K,9.56K,0.2
12907,indiandancecrew,618,150K,618,0.3
12908,quotiesvn,1.1K,150K,1.06K,0.9
12909,donjuannc,8K,150K,8.04K,0.6
12910,gipsychef,472,150K,472,3.5
12911,vievemuse,512,150K,512,2.1
12912,electric,3.2K,150K,3.19K,0.3
12913,voguegreece,3.6K,150K,3.61K,2.2
12914,sexybrowgh_haunguyen,4.2K,150K,4.23K,1
12915,unicobella,1.6K,150K,1.63K,1.3
12916,orhudsonvictor,125,150K,125,8
12917,soyezequielmontiel,776,150K,776,9.1
12918,keralasnapss,6.7K,150K,6.66K,1.1
12919,frankieandclo,1.5K,150K,1.55K,0.7
12920,nouveaupharaon,7,150K,7,15.8
12921,911lonestar,776,149.9K,776,4.2
12922,lets_feast,2.5K,149.9K,2.45K,1.5
12923,queenstownnz,2K,149.9K,1.96K,2.6
12924,annashpak,317,149.9K,317,7.1
12925,hairbychantellen,4K,149.9K,4K,3.4
12926,skyofartz,201,149.9K,201,0
12927,juziiinha,664,149.9K,664,0.3
12928,sagerimakeup,1.9K,149.9K,1.92K,2.5
12929,rohani_kristen,2.1K,149.9K,2.07K,0.6
12930,robertdoornbos,1.8K,149.9K,1.79K,5
12931,buffa_emy,584,149.9K,584,2.1
12932,akemi101xoxo,143,149.9K,143,2.5
12933,dontmesswithganesh,2K,149.9K,2.04K,1.2
12934,dj_ranjana,718,149.9K,718,0.9
12935,pepperlive,2.9K,149.9K,2.91K,0.8
12936,ritrisha.official,1.3K,149.9K,1.30K,1
12937,ju.___.eun,402,149.9K,402,0.8
12938,gpsc_material,3.7K,149.9K,3.65K,0.8
12939,manthony783,2.1K,149.9K,2.06K,1.9
12940,brigrc,2.7K,149.9K,2.74K,3.9
12941,oakandluna,653,149.8K,653,0.1
12942,walktheearthwriter,309,149.8K,309,2.6
12943,mandyharvey,194,149.8K,194,1.5
12944,babbu_maan_fan_page7,4.3K,149.8K,4.29K,4
12945,yamiichen,690,149.8K,690,2
12946,mishina_valentina_ifbb_pro,5.9K,149.8K,5.89K,1.9
12947,madrifashion,2.8K,149.8K,2.79K,0.8
12948,persiblegendt,1.6K,149.8K,1.61K,4.1
12949,constancezimmer,4.7K,149.8K,4.65K,1.2
12950,zubaidasonlineofficial,2.7K,149.8K,2.71K,0.1
12951,_moodie_fooodie,2.1K,149.8K,2.12K,1.8
12952,hushpuppiespakistan,2.1K,149.8K,2.14K,0.2
12953,sozyitimii,1.5K,149.8K,1.49K,0.5
12954,araredofficial,2.4K,149.8K,2.40K,0.2
12955,fizikofficial,2K,149.8K,1.98K,2
12956,freddyausnz,4.8K,149.8K,4.80K,0.1
12957,mominul68,144,149.8K,144,3.9
12958,unsaidwords_19,3.9K,149.8K,3.86K,4.8
12959,realbasick,279,149.8K,279,1.4
12960,suarasemangat,8.5K,149.8K,8.48K,7
12961,satyam_jewellery_mumbai,6.2K,149.8K,6.25K,0.1
12962,shraddhaxslay,2K,149.8K,2K,1.2
12963,supla_dukkani,2.2K,149.7K,2.15K,0.6
12964,realyinkaquadri,174,149.7K,174,0.6
12965,calebnatale,476,149.7K,476,4.7
12966,eshakanani,266,149.7K,266,2.1
12967,aktin,2.4K,149.7K,2.41K,5.3
12968,grid_id,11.9K,149.7K,11.88K,0.1
12969,pastorypj,2.2K,149.7K,2.19K,1.4
12970,adrianatorresv,863,149.7K,863,2.9
12971,anujabomajoshi,650,149.7K,650,7.7
12972,myproteinru,7.9K,149.7K,7.87K,0.3
12973,vasansi_jaipur,2.2K,149.7K,2.19K,0.1
12974,tasteandtravel_pl,1.4K,149.7K,1.41K,3.9
12975,richmusicltd,1.6K,149.7K,1.60K,3
12976,savanna_blade,389,149.7K,389,2.5
12977,intheheightsmovie,131,149.7K,131,11.2
12978,aanjaalirana,892,149.7K,892,5.6
12979,andreekatic,1K,149.7K,1.01K,0.8
12980,tunaapari,2.1K,149.7K,2.06K,2.1
12981,aquamarine_jewellery,6.4K,149.7K,6.41K,0
12982,cassperalta,672,149.7K,672,3.9
12983,socialdiarymagazine,31K,149.7K,31.03K,0.1
12984,benihana,2.5K,149.7K,2.54K,0.6
12985,simonjul1977,1.6K,149.6K,1.58K,1.9
12986,pakistan,6.6K,149.6K,6.57K,1.3
12987,nobymarcose,487,149.6K,487,4.9
12988,findyourkicksindia,1.2K,149.6K,1.22K,2.3
12989,biisonimafia,2.7K,149.6K,2.69K,3
12990,sagacuisine,3K,149.6K,3.01K,0.1
12991,fybeca,1.2K,149.6K,1.23K,0.2
12992,iamsunakshisharma,1.1K,149.6K,1.11K,0.4
12993,gillraunta,1K,149.6K,0.99K,6.1
12994,spaldingball,229,149.6K,229,1.4
12995,msigaming_indonesia,3.3K,149.6K,3.29K,0.3
12996,maxi_falcon97,59,149.6K,59,27.9
12997,jwmarriotthotels,886,149.6K,886,2
12998,instant.marathi,3.6K,149.6K,3.58K,0.5
12999,blochau,4K,149.6K,4.04K,1.7
13000,iseoulu,1.3K,151K,1.28K,3.8
13001,carlaprataofficial,28,151K,28,3.9
13002,xboxdach,2.8K,151K,2.76K,1.8
13003,frenchies_universal,4K,151K,4K,0.8
13004,globosmanas,2.2K,151K,2.22K,0.5
13005,paulosslandim_,808,151K,808,2.4
13006,oubillla,1K,151K,1.03K,5.6
13007,steffikingham,1.7K,151K,1.69K,26.1
13008,bucketlistadventure_,819,151K,819,3.4
13009,hwajang.13,436,151K,436,3.2
13010,luxcartuning_,6.8K,151K,1,0
13011,tanihub,1.7K,150.9K,1.74K,0.1
13012,lawofattraction060,9.1K,150.9K,9.10K,0.3
13013,susmitapal07,335,150.9K,335,0.3
13014,borisipsum,2K,150.9K,2.04K,9.2
13015,iunmutz,3.6K,150.9K,3.64K,0.3
13016,malvava,4.7K,150.9K,4.74K,0.6
13017,candytm.pl,4.5K,150.9K,4.53K,0.3
13018,stxmlax,6.3K,150.9K,6.29K,1.2
13019,pavithra_s_madhu,739,150.9K,739,5.2
13020,deina.official,12.9K,150.9K,12.86K,0
13021,mnmbe,19.5K,150.9K,19.53K,1.3
13022,edlover,3.6K,150.9K,3.55K,0.7
13023,miatyler,293,150.9K,293,3.9
13024,abubakrzoud,796,150.9K,796,5.1
13025,jnelv,2.3K,150.9K,2.33K,1.5
13026,butik.aslim,8.3K,150.9K,8.34K,0.2
13027,officialleatt,4K,150.9K,4K,0.5
13028,annsacks,1.2K,150.9K,1.24K,0.6
13029,vanessavasconcelos,3.5K,150.9K,3.55K,0.4
13030,douglasgarciasp,2.2K,150.9K,2.25K,4.3
13031,kaimz_couples,9.6K,150.9K,9.64K,0.3
13032,devinaputrii,3.6K,150.9K,3.57K,0.9
13033,helloweenofficial,411,150.9K,411,5.7
13034,_royal__status_,1.4K,150.9K,1.37K,3.2
13035,shinde.prajakta,727,150.9K,727,1.4
13036,thexoticfacts,850,150.9K,850,3.3
13037,jasonshah,434,150.9K,434,1.6
13038,designarf,2.4K,150.8K,2.42K,1.1
13039,gabrieltemudzani,401,150.8K,401,0.9
13040,swatch_us,2.4K,150.8K,2.42K,0.2
13041,beautybyyasi,281,150.8K,281,4.2
13042,merritt_pattrsn,1K,150.8K,1K,3.5
13043,yutilius,1.4K,150.8K,1.39K,0.8
13044,sevanthidesignhouse,564,150.8K,564,3.8
13045,anggisdevakii,1.2K,150.8K,1.19K,4.6
13046,flordepassion,7.5K,150.8K,7.49K,2.7
13047,overheard_in_chicago,1.9K,150.8K,1.87K,3.4
13048,laticsofficial,9.3K,150.8K,9.26K,0.7
13049,hdbrosriley,454,150.8K,454,28.5
13050,teklan,1.8K,150.8K,1.80K,2.9
13051,manimartin_official,1.1K,150.8K,1.15K,0.4
13052,naacp_ldf,693,150.8K,693,1.5
13053,rachaellange,578,150.8K,578,4.5
13054,astonmartinamericas,495,150.8K,495,1.9
13055,indomountain,3.4K,150.8K,3.43K,0.6
13056,lesliekfit_,1K,150.8K,1.04K,0.9
13057,fashionmodel.it,4.3K,150.8K,4.27K,0.2
13058,paseolagaleria.py,4.7K,150.8K,4.66K,0
13059,tanu02_29,64,150.8K,64,1.3
13060,fabianmasterchef,2.2K,150.8K,2.23K,1.4
13061,matchfitfootball,1.4K,150.8K,1.36K,0.1
13062,floridasportfishing,3.9K,150.7K,3.95K,0.3
13063,selenafanclub,1.2K,150.7K,1.25K,3.4
13064,kepinhelmy,2.5K,150.7K,2.53K,1.1
13065,badzesalam03,157,150.7K,157,0.3
13066,thisismvl,4.7K,150.7K,4.71K,1.8
13067,rebeccaebreeds,579,150.7K,579,2.9
13068,duongkhaclinh,4.3K,150.7K,4.28K,1.7
13069,minal__ahmad,0.9K,150.7K,0.95K,1.1
13070,loganpaaul,161,150.7K,161,8.5
13071,amit_hair_makeup_artist,2.3K,150.7K,2.33K,0.7
13072,patriciaecheverria,339,150.7K,339,8.9
13073,sallyshahine_official,82,150.7K,82,0.9
13074,jackienavarro,2.7K,150.7K,2.65K,2.3
13075,photraits,3.6K,150.7K,3.58K,1.7
13076,nisazatelier,1.7K,150.7K,1.70K,0.2
13077,arianteo,556,150.7K,556,13.6
13078,jesspryles,5.5K,150.7K,5.47K,1.1
13079,melitinastaniouta,4.3K,150.7K,4.34K,2.2
13080,tinneoltmans,495,150.6K,495,9.7
13081,juliaaknezevic,64,150.6K,64,20.1
13082,simpleflyingnews,5.8K,150.6K,5.82K,1.3
13083,mrs_tahirah,3K,150.6K,2.97K,2.2
13084,galasocialmedya,2.7K,150.6K,2.72K,2.2
13085,coachowenroddy,1.3K,150.6K,1.28K,2.5
13086,sunsupinsta,623,150.6K,623,6.6
13087,voakhmer,4.7K,150.6K,1,0
13088,sylvia_saru,418,150.6K,418,4.8
13089,pickykids_furniture,1.1K,150.6K,1.09K,0.1
13090,primusville,465,150.6K,465,2.5
13091,inevtariworld,1K,150.6K,1.05K,0.2
13092,anandparmarmusic,2.1K,150.6K,2.05K,0.5
13093,ugod_zilla,461,150.6K,461,0.8
13094,clara_dao,247,150.6K,247,9.6
13095,polymerclayworkshop,482,150.6K,482,2.4
13096,sicurezza,1.8K,150.6K,1.77K,0.8
13097,divine_villages,2.9K,150.6K,2.85K,3.2
13098,khormologiatn,144,150.6K,144,4.7
13099,yunggoth300,21,150.6K,21,16.1
13100,realregi,626,152K,626,5
13101,lucasraps_sa,46,152K,46,12.5
13102,fuhsephantom,3.9K,152K,3.90K,0.2
13103,rebelthriver,10.2K,152K,10.23K,1.4
13104,adhityappeoo,61,151.9K,61,12.4
13105,picsart_editing_backgraund,725,151.9K,725,2.1
13106,kurtmusica,103,151.9K,103,4.4
13107,andygarcia,372,151.9K,372,4.7
13108,ca_pietra_,1.7K,151.9K,1.66K,0.5
13109,thebarcakidd,800,151.9K,800,5.7
13110,ayraswim,1K,151.9K,0.98K,0.8
13111,peace_off_travel,541,151.9K,541,2.1
13112,wateraid,2.5K,151.9K,2.46K,0.2
13113,immichelle520,3.7K,151.9K,3.66K,0.8
13114,mirko,263,151.9K,263,2.9
13115,dj.premya_official_,2.4K,151.9K,2.36K,2.4
13116,msdhoniofficial,450,151.9K,450,5.9
13117,themodernleper,2.1K,151.9K,2.10K,4.5
13118,bretagnetourisme,2.6K,151.9K,2.64K,4.4
