id,avatar,posts,followers,likes,engagement_rate
0,chrishemsworth,0.9K,56.1M,0.90K,3.2
1,jokowi,3.9K,49.6M,3.93K,0.5
2,haileybieber,2K,49.6M,2.03K,3.5
3,gucci,9.2K,49.8M,9.15K,0.2
4,deepikapadukone,347,70.5M,347,1.4
5,nusr_et,2.4K,49.9M,2.40K,1.1
6,vancityreynolds,718,46.9M,718,1.9
7,marvel,7.4K,67M,7.39K,0.4
8,anitta,5.2K,63.5M,5.22K,1.2
9,lelepons,2.5K,50M,2.53K,2.9
10,marcelotwelve,2.7K,60M,2.74K,1
11,daddyyankee,76,47M,76,1.3
12,bellahadid,3.3K,56.6M,3.28K,1.8
13,psg,10.5K,63.6M,10.47K,0.8
14,zacefron,677,56.6M,677,2.4
15,narendramodi,559,70.9M,559,3.3
16,louisvuitton,6.6K,50.1M,6.63K,0.2
17,akshaykumar,2K,63.6M,2K,2
18,shawnmendes,2.5K,71M,2.55K,3.1
19,urvashirautela,2K,60.2M,2.03K,0.7
20,jamesrodriguez10,1.1K,50.2M,1.09K,1.5
21,iamzlatanibrahimovic,0.9K,56.8M,0.91K,1.7
22,travisscott,3.2K,47.2M,3.17K,5.7
23,milliebobbybrown,336,60.3M,336,6
24,chanelofficial,5.1K,53.5M,5.11K,0.1
25,ladygaga,3.6K,53.5M,3.58K,1.5
26,ayutingting92,11.7K,53.5M,11.65K,0.1
27,justintimberlake,790,67.5M,790,0.7
28,433,21.2K,50.6M,21.21K,1.3
29,tomholland2013,1.2K,67.7M,1.22K,9.9
30,thv,76,53.8M,76,23.9
31,robertdowneyjr,449,53.9M,449,3.4
32,zayn,176,47.6M,176,8.3
33,jacquelinef143,2.5K,64.3M,2.47K,1.1
34,blackpinkofficial,1.6K,50.9M,1.58K,2.7
35,stephencurry30,1.1K,47.8M,1.09K,1.8
36,larissamanoela,5.4K,47.9M,5.44K,0.7
37,krisjenner,6.5K,50.9M,6.49K,0.7
38,leonardodicaprio,1.7K,54.2M,1.69K,0.4
39,vanessahudgens,4.3K,47.9M,4.31K,0.8
40,adele,430,51M,430,6.8
41,harrystyles,659,47.9M,659,8.5
42,priyankachopra,3.6K,83.9M,3.61K,1.2
43,sergioramos,2.3K,54.3M,2.32K,2.1
44,ronaldinho,3K,68.3M,3.02K,1
45,sunnyleone,4.8K,54.4M,4.80K,0.8
46,manchesterunited,23.7K,61.4M,23.73K,0.8
47,tatawerneck,5.7K,54.6M,5.71K,0.9
48,jennierubyjane,0.9K,72.4M,0.93K,8.7
49,davidbeckham,1.6K,76.2M,1.59K,1.1
50,khaby00,317,80.2M,317,8.1
51,karolg,3.3K,58.1M,3.31K,5.2
52,anushkasharma,1.2K,61.6M,1.20K,3.3
53,emmawatson,417,68.8M,417,1.1
54,9gag,31K,58.1M,31.04K,0.5
55,gigihadid,3.3K,76.4M,3.29K,3.4
56,dovecameron,199,48.4M,199,2.8
57,nba,53K,72.6M,52.95K,0.3
58,roses_are_rosie,879,65.2M,879,8.3
59,katrinakaif,1.1K,68.9M,1.05K,2.6
60,premierleague,21.3K,61.8M,21.29K,0.3
61,mosalah,870,54.8M,870,2.3
62,hudabeauty,2.4K,51.6M,2.36K,0.1
63,shraddhakapoor,1.9K,76.7M,1.91K,1.6
64,nehakakkar,2.4K,72.9M,2.38K,1.3
65,charlidamelio,228,48.7M,228,5.4
66,karimbenzema,2.1K,62M,2.07K,1.7
67,vindiesel,1.8K,84.9M,1.84K,1.2
68,kritisanon,2.8K,51.8M,2.82K,1.3
69,michelleobama,691,51.9M,691,0.8
70,whinderssonnunes,2.8K,58.6M,2.81K,1.9
71,camila_cabello,3K,65.8M,2.97K,1.8
72,zara,3.9K,55.2M,3.94K,0.1
73,lalalalisa_m,0.9K,85.5M,0.93K,8.1
74,raffinagita1717,18.3K,66M,18.26K,0.4
75,jungkook.97,87,49.2M,87,15.2
76,aliaabhatt,1.9K,73.6M,1.90K,2
77,willsmith,1.4K,62.7M,1.41K,1.8
78,dishapatani,2K,55.5M,2K,2
79,nasa,3.7K,85.8M,3.69K,1.1
80,snoopdogg,55.3K,77.6M,55.25K,0.2
81,victoriassecret,3.1K,73.8M,3.14K,0.1
82,shakira,2K,77.7M,2.04K,1
83,maluma,8.2K,62.8M,8.19K,1.3
84,paulpogba,1.3K,55.7M,1.32K,1.7
85,juventus,13.3K,55.9M,13.28K,0.4
