id,avatar,posts,followers,likes,engagement_rate
0,champagnepapi,297,127.6M,297,1.2
1,fcbarcelona,17.6K,113.6M,17.56K,0.8
2,championsleague,18.9K,99.9M,18.95K,0.4
3,k.mbappe,1.2K,87.2M,1.20K,3.4
4,gal_gadot,1.7K,91.6M,1.71K,1.2
5,dualipa,1.4K,87.5M,1.39K,2.4
6,priyankachopra,3.6K,83.9M,3.61K,1.2
7,chrisbrownofficial,7.5K,125.5M,7.45K,0.3
8,realmadrid,6.5K,120.9M,6.53K,0.6
9,vindiesel,1.8K,84.9M,1.84K,1.2
10,lalalalisa_m,0.9K,85.5M,0.93K,8.1
11,billieeilish,737,107.4M,737,5.9
12,nasa,3.7K,85.8M,3.69K,1.1
13,theellenshow,10.7K,127.1M,10.75K,0.1
