id,avatar,posts,followers,likes,engagement_rate
0,kyliejenner,7K,375.9M,7.02K,1.7
1,leomessi,1K,403.7M,0.97K,1.7
2,kimkardashian,5.7K,336.3M,5.73K,0.9
3,arianagrande,5K,345.6M,4.98K,1.4
4,therock,7K,354.3M,7.03K,0.3
5,selenagomez,1.8K,365.3M,1.85K,1.1
