id,avatar,posts,followers,likes,engagement_rate
0,lamborghini,2.7K,32.5M,2.72K,0.8
1,victoriabeckham,4.6K,30M,4.56K,0.3
2,jamescharles,1.1K,23.1M,1.07K,6.2
3,dababy,158,21M,158,1.6
4,madelame,526,25.3M,526,9.3
5,amberrose,150,23.1M,150,0.4
6,sportscenter,35.5K,23.1M,35.49K,1.3
7,norafatehi,1.8K,43.6M,1.81K,2.6
8,janhvikapoor,795,21.1M,795,3.5
9,niallhoran,1.3K,30.1M,1.34K,6
10,houseofhighlights,26.9K,37.9M,26.92K,0.8
11,netflixbrasil,2.6K,25.4M,2.64K,1
12,riaricis1795,463,32.6M,463,2.4
13,miakhalifa,2.1K,27.7M,2.11K,4.7
14,alok,1.6K,27.7M,1.62K,1.5
15,greeicy,4.5K,21.1M,4.53K,4.7
16,sephora,12K,21.1M,12K,0.1
17,iscoalarcon,504,23.2M,504,1.7
18,brunomars,522,23.2M,522,3.7
19,andresiniesta8,2.1K,40.8M,2.09K,0.4
20,brunamarquezine,3.1K,43.7M,3.06K,1.4
21,sandradewi88,6K,21.1M,5.98K,0.1
22,viihtube,3.1K,23.2M,3.11K,1.6
23,colesprouse,1.1K,35.3M,1.14K,3.5
24,earthpix,9.2K,23.3M,9.19K,0.7
25,anuel,2.2K,30.2M,2.19K,2.9
26,avneetkaur_13,3K,32.8M,2.96K,1.6
27,imouniroy,2.9K,25.5M,2.88K,1.2
28,warriors,15.5K,25.5M,15.55K,0.7
29,fcbayern,16.8K,35.4M,16.78K,0.6
30,jimmyfallon,1.1K,23.3M,1.05K,0.8
31,divyankatripathidahiya,3K,23.3M,3.02K,1.1
32,camilo,1.9K,27.8M,1.93K,2.4
33,felicyangelista_,3K,21.2M,2.98K,1.9
34,oprah,1.3K,21.2M,1.25K,0.9
35,real__pcy,715,23.3M,715,10.3
36,vancityreynolds,718,46.9M,718,1.9
37,kapilsharma,1.1K,43.8M,1.06K,1.5
38,dagelan,56.2K,21.3M,56.17K,0.6
39,worldstar,101.8K,41M,101.81K,0.1
40,meekmill,127,21.3M,127,0.9
41,buzzfeedtasty,10.1K,43.9M,10.12K,0.1
42,buzova86,13.8K,23.4M,13.82K,0.5
43,barackobama,743,35.5M,743,1.7
44,daddyyankee,76,47M,76,1.3
45,simaria,1.1K,27.9M,1.13K,0.9
46,marvelstudios,2.8K,38.2M,2.81K,1.3
47,realdonaldtrump,6.1K,23.4M,6.08K,3.6
48,gusttavolima,5K,43.9M,5.02K,0.8
49,bramastavrl,1.3K,25.7M,1.32K,0.6
50,fifaworldcup,10K,28M,10.01K,0.5
51,chelseaoliviaa,3.4K,28M,3.41K,0.3
52,jenniferaniston,110,41.1M,110,5.8
53,fashionnova,77.3K,21.4M,77.29K,0
54,luisitocomunica,2.9K,32.9M,2.91K,4
55,agnezmo,3.3K,28M,3.31K,0.7
56,princessyahrini,4.6K,41.2M,4.57K,0.1
57,isisvalverde,10.2K,28.1M,10.17K,0.5
58,sabrinacarpenter,123,28M,123,5.2
59,wesleysafadao,9K,38.3M,9.02K,0.3
60,kiaraaliaadvani,1.3K,23.5M,1.33K,3.6
