id,avatar,posts,followers,likes,engagement_rate
61,easportsfifa,2.1K,25.8M,2.09K,0.9
62,travisscott,3.2K,47.2M,3.17K,5.7
63,marinaruybarbosa,2.1K,41.2M,2.12K,0.6
64,agustd,83,41.2M,83,25.3
65,fortnite,1.6K,25.9M,1.61K,1
66,versace,7.1K,28.1M,7.06K,0.3
67,iamsrk,618,28.1M,618,5.6
68,ferrari,3.7K,23.6M,3.66K,0.7
69,lukamodric10,602,21.5M,602,2.9
70,disney,7.7K,35.8M,7.70K,0.3
71,ashanty_ash,10.2K,30.7M,10.22K,0.3
72,nancyajram,3.8K,33.1M,3.81K,0.6
73,ciara,4.4K,33.1M,4.35K,1
74,kyliecosmetics,1.1K,26M,1.12K,0.3
75,hm,7.5K,38.5M,7.48K,0.1
76,saraalikhan95,889,41.4M,889,2.3
77,memezar,21.8K,23.6M,21.79K,1.4
78,xxxibgdrgn,2.7K,21.6M,2.71K,4.4
79,virginia,2K,41.4M,1.99K,4
80,rockstargames,3.9K,23.7M,3.87K,0.8
81,amandacerny,2.5K,23.6M,2.51K,1.6
82,iamhalsey,702,30.8M,702,5.1
83,rohitsharma45,1.1K,26M,1.08K,4.3
84,nina,4K,26M,4.01K,4.2
85,madisonbeer,626,26M,626,6
86,6ix9ine,140,21.6M,140,10.4
87,sidmalhotra,1.1K,21.6M,1.14K,2.9
88,handemiyy,576,28.2M,576,9.2
89,teddysphotos,64,41.4M,64,1.2
90,aliciakeys,787,23.7M,787,1.1
91,loren,1.6K,23.7M,1.61K,1.5
92,brunogagliasso,6.1K,21.7M,6.10K,0.5
93,chrissyteigen,5.1K,38.6M,5.11K,0.7
94,kevinho,427,28.2M,427,0.9
95,mancity,19.6K,36M,19.56K,0.4
96,ramadhaniabakrie,2.4K,23.7M,2.44K,0.3
97,ivan_gunawan,22.3K,30.9M,22.31K,0.1
98,shrutzhaasan,2.4K,21.7M,2.38K,0.8
99,arsenal,15K,23.8M,14.97K,0.5
100,zayn,176,47.6M,176,8.3
101,wonderful_places,7.9K,21.7M,7.86K,0.4
102,kajalaggarwalofficial,1.9K,21.8M,1.94K,2.8
103,chiaraferragni,16.4K,28.3M,16.41K,1.8
104,quavohuncho,4.4K,21.8M,4.37K,1.4
105,bbcnews,15.4K,21.8M,15.41K,0.3
106,lunamaya,4.2K,36.1M,4.17K,0.2
107,nickjonas,2.4K,33.4M,2.38K,1.2
108,tigerjackieshroff,2.2K,36.1M,2.17K,1.9
109,icc,31.6K,23.8M,31.64K,0.8
110,johnnydepp,21,23.8M,21,8.5
111,ashleybenson,2.4K,21.8M,2.39K,1.2
112,lewishamilton,1.3K,31M,1.32K,2.9
113,nattinatasha,54,36.1M,54,1.3
114,davido,4.5K,23.9M,4.49K,1.5
115,fernandasouzaoficial,6.1K,21.8M,6.15K,0.7
116,rakulpreet,1.6K,21.8M,1.61K,1.4
117,britneyspears,3.2K,41.7M,3.21K,1.2
118,badbunnypr,16,44.6M,16,9.7
119,hrithikroshan,636,44.6M,636,2.9
120,_irishbella_,1.1K,21.8M,1.07K,0.6
121,rodrigofaro,4K,21.8M,4.03K,0.6
122,stephencurry30,1.1K,47.8M,1.09K,1.8
123,pewdiepie,773,21.9M,773,7.6
124,bclsinclair,5.2K,21.9M,5.22K,0.9
125,larissamanoela,5.4K,47.9M,5.44K,0.7
126,calvinklein,6.4K,21.9M,6.43K,0.2
127,hegdepooja,1.5K,21.9M,1.47K,3.5
128,voguemagazine,11K,41.8M,10.99K,0.3
129,carlinhosmaiaof,1.6K,26.3M,1.60K,3.3
130,vanessahudgens,4.3K,47.9M,4.31K,0.8
131,ludmilla,562,28.5M,562,1.1
132,lilireinhart,0.9K,28.5M,0.95K,9.2
133,sarwendah29,6K,33.6M,5.96K,0.3
134,danbilzerian,1.4K,33.6M,1.38K,6.5
135,harrystyles,659,47.9M,659,8.5
136,zaskiasungkar15,5.1K,28.5M,5.15K,0.5
137,rashmika_mandanna,456,31.2M,456,6.7
138,onedirection,733,22M,733,17.5
139,laliga,37.7K,41.9M,37.73K,0.1
140,adidas,871,26.4M,871,0.2
141,juliette,1K,33.7M,0.96K,5.4
142,luansantana,0.9K,33.7M,0.91K,0.4
143,mercedesbenz,18.5K,36.4M,18.48K,0.3
144,kingbach,5K,22M,4.97K,1.3
145,attahalilintar,3.3K,24M,3.33K,1.7
146,anushkasen0408,5.5K,39M,5.47K,1.5
147,50cent,4.9K,28.6M,4.93K,0.4
148,ananyapanday,1K,24.1M,1.05K,2.4
149,awez_darbar,2.6K,26.5M,2.58K,1.7
150,antogriezmann,872,36.4M,872,1.8
151,varundvn,2K,44.9M,1.96K,1.8
152,hannahstocking,1.3K,22M,1.31K,1.8
153,bmw,9.4K,33.7M,9.39K,0.3
154,reesewitherspoon,2.6K,26.5M,2.58K,1
155,wwe,35.4K,26.5M,35.45K,0.4
156,porsche,3K,26.5M,3.01K,0.5
157,madhuridixitnene,1.5K,33.8M,1.53K,0.9
158,margotrobbie,214,24.2M,214,4.4
159,juanpazurita,1.6K,31.4M,1.61K,1.2
160,parineetichopra,1.4K,39.2M,1.35K,0.9
161,toni.kr8s,1K,36.6M,0.97K,1.2
162,jin,100,42.1M,100,23
163,mr_faisu_07,3.4K,28.8M,3.41K,2.1
164,kimberly.loaiza,578,36.6M,578,4.4
165,cznburak,1.8K,42.2M,1.83K,2.1
166,shreyaghoshal,1.9K,24.2M,1.89K,1.3
167,chelseafc,17.3K,36.6M,17.29K,0.6
168,shahidkapoor,1.2K,36.6M,1.18K,2.4
169,georginagio,778,42.2M,778,5.7
170,sonamkapoor,4.9K,33.9M,4.85K,0.6
171,dolcegabbana,12.5K,28.8M,12.49K,0.1
172,uarmyhope,171,42.2M,171,18.5
173,espn,31.7K,22.1M,31.68K,0.5
174,theshaderoom,125.5K,26.7M,125.50K,0.4
175,khabib_nurmagomedov,4.6K,34M,4.61K,1.4
176,inijedar,3.6K,31.5M,3.64K,0.3
177,jannatzubair29,1.7K,45.2M,1.74K,2.1
178,m10_official,1.6K,24.3M,1.59K,3.4
179,dovecameron,199,48.4M,199,2.8
180,adidasfootball,2.2K,31.6M,2.15K,0.4
181,samantharuthprabhuoffl,1.3K,24.3M,1.32K,4.8
182,wizkhalifa,37,39.4M,37,0.8
183,letthelordbewithyou,1.3K,26.7M,1.27K,1.4
184,dior,10.1K,42.3M,10.09K,0.1
185,mirella,777,26.8M,777,2.5
186,hardikpandya93,1.5K,24.4M,1.49K,4.5
187,aslisona,1.8K,24.4M,1.82K,0.7
188,sommerray,1.4K,26.8M,1.42K,2.5
189,playstation,2.1K,28.9M,2.09K,0.6
190,addisonraee,325,39.5M,325,5
191,rafakalimann,1.7K,22.3M,1.70K,2.8
192,schwarzenegger,1K,22.3M,0.99K,1.2
193,nikefootball,1.8K,45.4M,1.83K,0.4
194,dixiedamelio,62,24.4M,62,4.4
195,actorleeminho,263,28.9M,263,12.2
196,lucyhale,1.9K,24.4M,1.85K,1
197,sabrinasato,9.5K,31.7M,9.49K,0.4
198,ranveersingh,1.8K,42.5M,1.80K,1.5
199,apple,1.1K,29M,1.07K,0.6
200,lestykejora,1K,26.9M,0.96K,2.5
201,charlidamelio,228,48.7M,228,5.4
202,tiktok,1.3K,26.9M,1.32K,0.2
203,indiancricketteam,9K,26.9M,9.05K,1.6
204,adidasoriginals,193,34.2M,193,0.2
205,claudialeitte,5.4K,22.4M,5.45K,0.6
206,katherinelangford,90,31.8M,90,0.9
207,pubity,16.2K,31.8M,16.18K,1.1
208,luisasonza,2.1K,27M,2.07K,1.7
209,blakelively,121,37M,121,5.6
210,maccosmetics,11.8K,24.6M,11.84K,0
211,shireensungkar,3.9K,22.4M,3.86K,0.2
212,lilyjcollins,4K,27M,4.01K,2.7
213,zachking,1.1K,24.6M,1.06K,3.7
214,oliviarodrigo,169,24.6M,169,11.9
215,thegoodquote,1K,24.6M,1.04K,0.3
216,theestallion,890,29.1M,890,3.7
217,oohsehun,796,22.5M,796,8.7
218,hazardeden_10,545,27M,545,4.1
219,iambeckyg,2.4K,34.4M,2.35K,1.6
220,loganpaul,1.1K,24.6M,1.11K,3.4
221,theshilpashetty,3.3K,27.1M,3.31K,0.9
222,camimendes,414,27M,414,6.6
223,emilia_clarke,483,27.1M,483,4.3
224,liampayne,1K,24.7M,1.04K,3.8
225,youtube,3.3K,29.2M,3.33K,0.2
226,netflix,6K,32M,6.03K,0.9
227,arishfakhan138,1.9K,29.2M,1.89K,1
228,liverpoolfc,20.5K,39.9M,20.46K,0.5
229,prattprattpratt,753,39.9M,753,1.1
230,pefabiodemelo,5.9K,24.7M,5.89K,1.4
231,maisa,1.6K,45.8M,1.56K,0.9
232,beautifuldestinations,12.3K,24.7M,12.27K,0.7
233,marshmellomusic,74,29.3M,74,1.3
234,rohittt_09_,854,24.8M,854,4.3
235,raisa6690,4.3K,34.5M,4.27K,0.4
236,_rl9,1.6K,24.8M,1.64K,2.7
237,najwashihab,4.4K,22.6M,4.40K,0.9
238,djkhaled,36.7K,29.4M,36.69K,0.2
239,jungkook.97,87,49.2M,87,15.2
240,natgeotravel,17.2K,46M,17.24K,0.2
241,ufc,21K,27.3M,21.03K,0.4
242,danialves,3.4K,37.4M,3.40K,0.8
243,gisel_la,10.2K,37.4M,10.17K,0.2
244,nfl,45.4K,24.9M,45.44K,0.7
245,mahi7781,107,40.1M,107,10.9
246,shaq,3.5K,24.9M,3.49K,0.6
247,ronaldo,1.3K,22.7M,1.33K,0.5
248,ozuna,60,22.7M,60,1.3
249,sofiavergara,5.2K,27.4M,5.16K,0.6
250,riyaz.14,1.6K,27.4M,1.57K,1.9
251,amitabhbachchan,1.1K,32.3M,1.10K,1.3
252,sachintendulkar,1.1K,37.5M,1.07K,1.7
253,ursulolita,331,25M,331,11.8
254,dannapaola,2K,34.8M,2.02K,2.5
255,eminem,721,37.6M,721,2.4
256,tirullipa,11.7K,25M,11.66K,1.5
257,rkive,120,40.3M,120,15.3
258,zidane,393,34.8M,393,2.2
259,gadiiing,11.6K,22.8M,11.59K,0.3
260,simoneses,4.4K,34.8M,4.40K,1.2
261,thenotoriousmma,3.4K,46.2M,3.37K,1.6
262,eliana,4.9K,29.6M,4.87K,0.6
263,jscmila,2K,22.8M,1.97K,0.3
264,dedesecco,5K,25M,4.96K,0.4
265,5.min.crafts,15.5K,46.2M,15.48K,0.1
266,floydmayweather,1K,27.5M,1.01K,1.3
267,kartikaaryan,2.2K,25M,2.15K,2.6
268,postmalone,1K,22.9M,0.99K,5.6
269,rashmika_mandanna,409,25.1M,409,8.3
270,emrata,1.2K,29.7M,1.21K,2.8
271,paollaoliveirareal,4.8K,34.9M,4.78K,0.7
272,twicetagram,3.2K,25.1M,3.19K,6
273,natashawilona12,1.2K,40.5M,1.24K,0.8
274,prada,7.2K,29.8M,7.18K,0.1
275,aurelie.hermansyah,2.7K,29.8M,2.67K,1
276,sheinofficial,23.1K,25.2M,23.06K,0.1
