id,avatar,posts,followers,likes,engagement_rate
0,justinbieber,7.4K,270.2M,7.39K,0.5
1,nike,1K,257.6M,1.03K,0.1
2,beyonce,2.1K,287.3M,2.05K,1
3,khloekardashian,4.2K,283.9M,4.19K,0.5
