id,avatar,posts,followers,likes,engagement_rate
0,champagnepapi,297,127.6M,297,1.2
1,ddlovato,68,143.5M,68,0.3
2,badgalriri,4.9K,139.2M,4.86K,2.7
3,kingjames,2.4K,139.2M,2.41K,0.9
4,zendaya,3.5K,161.8M,3.54K,4.1
5,iamcardib,1.6K,145.6M,1.65K,1.8
6,katyperry,2.1K,179.8M,2.09K,0.3
7,kevinhart4real,8.4K,157.6M,8.40K,0.2
