id,avatar,posts,followers,likes,engagement_rate
0,namanpachori,592,6.6M,592,0.9
1,doutzen,4K,6.6M,3.96K,1
2,calumhood,1.4K,6.6M,1.38K,6.6
3,therealmikeepps,4.8K,6.6M,4.77K,1.6
4,phynofino,2.4K,6.6M,2.36K,0.7
5,nickelodeon,10.7K,6.6M,10.66K,0.3
6,vhongx44,1K,6.6M,1.03K,0.6
7,givenchy,709,15.3M,709,0
8,remodsouza,2.5K,10.5M,2.49K,2.7
9,amyschumer,2.9K,10.5M,2.94K,0.6
10,officialshetta,1.1K,5.5M,1.07K,0.1
11,afcajax,8.9K,5.5M,8.94K,0.7
12,a.sharif92,300,5.5M,300,1.6
13,photoshop,1.6K,5.5M,1.58K,0.5
14,lisabarcelox,298,5.5M,298,10.7
15,kimjuncotton,209,9.1M,209,21.7
16,neymarjrsiteoficial,5.9K,9.1M,5.87K,0.8
17,england,6.8K,9.1M,6.79K,0.7
18,camerondiaz,155,7.8M,155,1.5
19,aditiraohydari,2K,7.8M,2.05K,1.9
20,anwar,1K,7.8M,0.95K,2.7
21,jwoww,4.4K,7.8M,4.42K,0.8
22,monazakiofficial,468,7.8M,468,1.1
23,nita_shilimkar,1.3K,12M,1.27K,3.4
24,patrickdempsey,1K,6.6M,0.99K,4.2
25,james,1K,6.6M,0.96K,0.9
26,btwitslucky,804,6.6M,804,2.6
27,baimwong,3.2K,17.1M,3.24K,0.8
28,giovannaantonelli,4.9K,17.1M,4.91K,0.4
29,ler_chek,2.6K,10.5M,2.65K,4.7
30,marcjacobs,7K,10.5M,6.98K,0.1
31,sameeksha.sud_,2.3K,10.5M,2.33K,0.8
32,acunilicali,532,13.6M,532,1.8
33,aliandooo,1.2K,13.6M,1.17K,0.8
34,pattieung,1.8K,5.5M,1.84K,2.3
35,gaurgopaldas,1.9K,5.5M,1.86K,1.6
36,lewiscapaldi,168,5.5M,168,11.7
37,who,2.9K,12M,2.88K,0.2
38,courteneycoxofficial,298,12M,298,6.1
39,kanik4kapoor,2.8K,12M,2.84K,1.5
40,da2_ridho,162,5.5M,162,0.6
41,dogojanjatz,6.5K,5.5M,6.45K,0.3
42,kritika_malik_9,3.6K,5.5M,3.64K,0.7
43,dababy,158,21M,158,1.6
44,morgen_shtern,378,7.8M,378,5
45,yukikt,1.4K,7.8M,1.44K,1.6
46,norkys_batista,16.1K,7.8M,16.09K,0.4
47,zizanrazak869,5.3K,7.8M,5.34K,0.5
48,dylansprouse,9,9.1M,9,5.8
49,rollsroycecars,1.9K,9.1M,1.86K,1.5
50,scuderiaferrari,5.1K,6.6M,5.15K,2.3
51,thebursin,128,6.6M,128,21.4
52,nas,70,6.6M,70,1.4
53,makeupforever,1.4K,6.6M,1.39K,0
54,francinyehlke,1.1K,15.3M,1.05K,3.3
55,liamhemsworth,181,13.6M,181,5.6
56,troyesivan,1.6K,13.6M,1.61K,2.6
57,hitocaesar,1.6K,13.6M,1.61K,1.4
58,taisdeverdade,4.3K,12M,4.29K,0.7
59,janhvikapoor,795,21.1M,795,3.5
60,zoesaldana,1.8K,9.1M,1.81K,1.7
61,abigailratchford,368,9.1M,368,1.4
62,mcdonjuan,1.2K,7.8M,1.25K,1.1
63,joesthetics,1.9K,7.8M,1.86K,2.9
64,ayeshacurry,3.2K,7.8M,3.23K,2.1
65,julienco_,832,5.5M,832,5.6
66,yesimprettyvee,2.9K,5.5M,2.92K,3.8
67,nyra_banerjee,1.9K,5.5M,1.86K,0.7
68,natgeointhefield,4.1K,15.4M,4.13K,0.1
69,strangerthingstv,495,15.4M,495,11.5
70,majorgirl,4.2K,6.6M,4.17K,1.7
71,sportbible,16.6K,6.6M,16.56K,1.4
72,zevaqueiro,570,6.6M,570,2.6
73,keyshiakaoir,3.3K,6.6M,3.32K,1.5
74,5sos,2.7K,10.6M,2.71K,3
75,bastianschweinsteiger,1.1K,10.6M,1.10K,0.4
76,calvinharris,101,10.5M,101,0.9
77,thef2,7.7K,10.5M,7.68K,0.9
78,ninja,1.2K,13.7M,1.17K,1.4
79,chrisevans,55,13.7M,55,13.9
80,drayamichele,1.5K,9.2M,1.55K,1
81,hoskelsa,3.7K,7.8M,3.72K,1.9
82,vspink,2.2K,7.8M,2.23K,0.1
83,kinzahashmi,1.1K,7.8M,1.13K,1.5
84,irwansyah_15,3.1K,12.1M,3.06K,0.4
85,cats_of_instagram,15.6K,12M,15.58K,0.6
86,rioferdy5,2.1K,5.5M,2.12K,1.1
87,zion,1.3K,5.5M,1.33K,0.4
88,sivakarthikeyan,305,5.5M,305,9
89,henrycavill,484,17.2M,484,9.7
90,ebrugundes,1K,6.7M,0.95K,1.9
91,lcfc,11.9K,6.7M,11.94K,0.3
92,shreyas41,1K,6.7M,0.95K,6.2
93,i_am_kiko,2.2K,6.6M,2.22K,0.8
94,discoverearth,7K,6.6M,6.97K,1.1
95,ibaillanos,162,6.6M,162,17.5
96,thesiddharthnigam,1.5K,10.6M,1.47K,2.8
97,motogp,16.8K,13.7M,16.75K,0.4
98,filmygyan,1.1K,15.4M,1.05K,0.6
99,winnieharlow,4.5K,9.2M,4.53K,1.8
100,pedroalonsoochoro,781,9.2M,781,3.6
101,kendallvertes,2.9K,9.2M,2.89K,1.4
102,elliotpage,21,5.5M,21,17.4
103,_vaanikapoor_,1.1K,5.5M,1.10K,2.5
104,memequeen,11.2K,5.5M,11.19K,0.9
105,bleacherreport,43.2K,19.1M,43.25K,1.1
106,greeicy,4.5K,21.1M,4.53K,4.7
107,sephora,12K,21.1M,12K,0.1
108,kevin,1.5K,7.9M,1.51K,1.3
109,canelo,1.2K,7.9M,1.24K,4.4
110,cassie,141,7.9M,141,3.2
111,akon,425,7.9M,425,1.1
112,rosmeoficial,226,6.7M,226,2.8
113,wolfiecindy,530,6.7M,530,7.6
114,cea_brasil,7.5K,6.7M,7.49K,0.1
115,lala,4K,13.7M,4.04K,1.5
116,joannagaines,2.5K,13.7M,2.53K,0.5
117,urbanoutfitters,15.1K,9.2M,15.13K,0.2
118,ab,581,12.1M,581,2.1
119,salicerose,4K,12.1M,4.04K,1.3
120,augustocury,1.6K,5.6M,1.62K,0.6
121,revolve,18.2K,5.6M,18.17K,0.1
122,alexanderwangny,1.8K,5.6M,1.83K,0.1
123,dude2harlino,2K,5.6M,1.96K,0.4
124,sandradewi88,6K,21.1M,5.98K,0.1
125,vp,586,17.2M,586,3.4
126,sarasampaio,2.8K,7.9M,2.76K,1.9
127,ppteamkaren,1.5K,7.9M,1.49K,2.3
128,behnoushtabatabai,160,7.9M,160,1.3
129,yuzi_chahal23,1.4K,7.9M,1.42K,6.5
130,maroon5,1.3K,7.9M,1.29K,0.7
131,soolkingofficiel,7,6.7M,7,3.9
132,keyshiacole,82,6.7M,82,2.2
133,sav.labrant,1.4K,6.7M,1.35K,13.8
134,danielhabif,4.7K,6.7M,4.74K,2.6
135,ibrahimbasha,187,6.7M,187,0.1
136,mrsayudewi,5.6K,13.7M,5.61K,0.4
137,morphebrushes,11.2K,10.6M,11.20K,0.3
138,maiteperroni,1.9K,10.6M,1.88K,1.4
139,louboutinworld,6K,15.4M,6K,0.1
140,sadhguru,6.5K,9.2M,6.55K,0.7
141,badboyshah,104,12.1M,104,1.4
142,australia,11.6K,5.6M,11.65K,1
143,papikunno,207,5.6M,207,5.1
144,steveo,1.8K,5.6M,1.78K,3.4
145,potus,1.7K,19.1M,1.69K,2.3
146,rafaelnadal,1.3K,17.2M,1.26K,1.1
147,kevinroldankr,1.5K,7.9M,1.45K,1.1
148,bhumipednekar,2.3K,6.7M,2.29K,1.2
149,sentoavara,11.5K,6.7M,11.47K,1.9
150,cassandraslee,1.7K,10.6M,1.70K,0.5
151,caitlynjenner,722,12.1M,722,0.5
152,sthefanematos,512,9.2M,512,7.2
153,macmiller,23,9.2M,23,10.2
154,theangelawhite,253,9.2M,253,2.3
155,edwestwick,0.9K,9.2M,0.90K,4.7
156,fcbmasia,3.2K,5.6M,3.16K,0.3
157,sanchooo10,91,5.6M,91,8.4
158,prideofgypsies,3K,17.3M,3.01K,1.5
159,larasilva,565,17.3M,565,7.2
160,tessabrooks,732,17.3M,732,0.6
161,sasy,2.3K,7.9M,2.27K,2.3
162,mauyricky,555,6.7M,555,2.2
163,lance210,1K,6.7M,0.95K,5.3
164,soueunavida,6.2K,13.7M,6.25K,3.8
165,hadise,824,13.7M,824,2.2
166,nct127,2.4K,10.6M,2.44K,6.9
167,diorbeauty,1.2K,10.6M,1.22K,0.1
168,stevengerrard,1.2K,10.6M,1.20K,2
169,sarcasm_only,15.6K,15.5M,15.65K,1
170,funkejenifaakindele,2.7K,15.4M,2.66K,0.3
171,albafloresoficial,369,12.1M,369,8.4
172,jubin_nautiyal,1.4K,9.2M,1.44K,1.9
173,hhshkmohd,1.5K,5.6M,1.49K,1
174,vijaytelevision,12.3K,5.6M,12.29K,0.4
175,seanfreestyle,5.2K,5.6M,5.16K,1
176,lucasranngel,4.7K,19.2M,4.71K,2.2
177,hassan_reyvandi,802,17.3M,802,3.6
178,maiamitchell,1.2K,6.7M,1.16K,4.1
179,marcmarquez93,2.8K,6.7M,2.76K,2.8
180,berniesanders,3.4K,6.7M,3.38K,1.5
181,mohamedalsalim,3K,6.7M,2.99K,0.8
182,cnnee,11.1K,6.7M,11.08K,0.2
183,forbesbr,10.3K,6.7M,10.26K,0.5
184,elitenetflix,232,6.7M,232,7.6
185,muskansharma.5,706,7.9M,706,2.8
186,nitanshigoelofficial,1.4K,7.9M,1.42K,1.4
187,spotify,3.4K,7.9M,3.41K,0.5
188,surabhi.samriddhi,1.8K,10.6M,1.82K,1.6
189,cabronazi,45.4K,9.2M,45.37K,0.7
190,mirzasaniar,1.5K,9.2M,1.50K,1.1
191,iiqraaziz,2.1K,9.2M,2.13K,2.5
192,yungmiami305,62,5.6M,62,7.2
193,celtics,9K,5.6M,9.04K,0.3
194,nbaontnt,16.7K,5.6M,16.71K,0.7
195,russwest44,1.4K,19.2M,1.35K,1.4
196,wisin,9.7K,12.1M,9.71K,0.4
197,bernardokath,2.2K,17.3M,2.22K,2.2
198,jujusalimeni,9.6K,17.3M,9.63K,0.8
199,kanganaranaut,3.1K,7.9M,3.11K,5.2
200,jacksepticeye,1.1K,7.9M,1.12K,4.5
201,therealjimparsons,897,7.9M,897,1.3
202,beberexha,1.2K,10.7M,1.15K,2.8
203,cuadrado,0.9K,10.6M,0.92K,1.2
204,toyajohnson,10.2K,10.6M,10.22K,0.6
205,luisfonsi,4.7K,10.6M,4.74K,0.4
206,realmobilelegendsid,9.2K,10.6M,9.21K,0.3
207,snooki,7K,15.5M,6.97K,0.7
208,melo,300,6.7M,300,12.2
209,davidwarner31,2.1K,9.2M,2.07K,5.1
210,rivarora_,2.8K,9.2M,2.83K,1.3
211,indiaofficialfreefire,5K,9.2M,5K,0.8
212,vocesabia,7.1K,5.6M,7.12K,3.6
213,mohammedassaf89,3.4K,5.6M,3.41K,0.7
214,rizkynazar20,545,5.6M,545,3.4
215,rickeythompson,2.5K,5.6M,2.49K,3.6
216,juanbertheau,1.7K,5.6M,1.69K,6
217,xxxtentacion,1,19.2M,1,189.6
218,raditya_dika,5.1K,17.3M,5.10K,0.8
219,raashiikhanna,1.2K,7.9M,1.24K,3.4
220,anguscloud,63,7.9M,63,16
221,poloralphlauren,4.6K,7.9M,4.63K,0.1
